iter	Passed	Remaining
926	2079	163
927	2081	161
928	2083	159
929	2085	156
930	2087	154
931	2090	152
932	2092	150
933	2094	148
934	2096	145
935	2098	143
936	2100	141
937	2102	138
938	2105	136
939	2107	134
940	2109	132
941	2111	130
942	2113	127
943	2115	125
944	2117	123
945	2120	121
946	2122	118
947	2124	116
948	2126	114
949	2128	112
950	2130	109
951	2132	107
952	2134	105
953	2137	103
954	2139	100
955	2141	98
956	2143	96
957	2145	94
958	2147	91
959	2149	89
960	2152	87
961	2154	85
962	2156	82
963	2158	80
964	2160	78
965	2163	76
966	2165	73
967	2167	71
968	2169	69
969	2171	67
970	2173	64
971	2175	62
972	2177	60
973	2180	58
974	2182	55
975	2184	53
976	2186	51
977	2189	49
978	2191	47
979	2193	44
980	2195	42
981	2197	40
982	2199	38
983	2202	35
984	2204	33
985	2206	31
986	2208	29
987	2211	26
988	2213	24
989	2215	22
990	2217	20
991	2220	17
992	2222	15
993	2224	13
994	2226	11
995	2228	8
996	2230	6
997	2233	4
998	2235	2
999	2238	0
